state,era,use_group,properties,avg_sqft,median_value
MN,unknown,INDUSTRIAL,30263,15826,43490
MN,2000-09,Commercial,26994,17144,511617
MN,1980-99,INDUSTRIAL,15920,32449,1016045
MN,2010+,Commercial,13606,32900,893264
MN,1960-79,INDUSTRIAL,13503,40816,887859
MN,pre-1960,INDUSTRIAL,8026,35120,361976
MN,2000-09,INDUSTRIAL,7998,19253,477783
MN,2010+,INDUSTRIAL,4964,24032,515678
MS,1980-99,Commercial,39864,8708,208701
MS,1960-79,Commercial,36924,5907,112672
MS,pre-1960,Commercial,32502,3758,65370
MS,2000-09,Commercial,20650,10309,357838
MS,unknown,Commercial,19674,4631,32851
MS,2010+,Commercial,13849,9187,419119
MS,1980-99,INDUSTRIAL,7597,19193,192520
MS,1960-79,INDUSTRIAL,6517,20556,147170
MS,unknown,INDUSTRIAL,4724,13608,26683
MS,2000-09,INDUSTRIAL,3401,26525,246244
MS,pre-1960,INDUSTRIAL,2910,13728,69761
MS,2010+,INDUSTRIAL,1748,58583,311071
MO,unknown,Commercial,159644,14202,40473
MO,pre-1960,Commercial,81563,4505,84611
MO,1980-99,Commercial,60547,11868,305938
MO,1960-79,Commercial,46395,7952,185589
MO,2000-09,Commercial,32124,14692,530751
MO,2010+,Commercial,19518,13192,628779
MO,pre-1960,INDUSTRIAL,16043,15507,113894
MO,1980-99,INDUSTRIAL,14853,17672,280651
MO,1960-79,INDUSTRIAL,11426,18554,226156
MO,unknown,INDUSTRIAL,11379,18109,35099
MO,2000-09,INDUSTRIAL,7194,25026,319767
MO,2010+,INDUSTRIAL,4283,28621,363863
MT,unknown,Commercial,32925,1323,89018
MT,pre-1960,Commercial,30012,5331,252322
MT,1960-79,Commercial,22139,7414,408233
MT,1980-99,Commercial,18752,7983,537768
MT,2000-09,Commercial,11429,8997,691856
MT,2010+,Commercial,10358,9337,793298
MT,unknown,INDUSTRIAL,6902,1135,
MT,1980-99,INDUSTRIAL,2149,9240,536539
MT,2000-09,INDUSTRIAL,1573,8316,451999
MT,2010+,INDUSTRIAL,1488,13222,1001331
MT,1960-79,INDUSTRIAL,974,15670,625698
MT,pre-1960,INDUSTRIAL,569,12983,350921
NE,unknown,Commercial,44029,11129,27142
NE,pre-1960,Commercial,35013,5201,85274
NE,1960-79,Commercial,21953,8905,235891
NE,1980-99,Commercial,20487,12065,395671
NE,2000-09,Commercial,11978,13059,615839
NE,2010+,Commercial,11830,14444,722402
NE,pre-1960,INDUSTRIAL,10135,8380,49242
NE,1980-99,INDUSTRIAL,7546,12761,251599
NE,1960-79,INDUSTRIAL,7062,17513,211764
NE,2010+,INDUSTRIAL,4732,12564,333551
NE,unknown,INDUSTRIAL,4506,10169,57423
NE,2000-09,INDUSTRIAL,4319,13545,345119
NV,1980-99,Commercial,29136,16616,476235
NV,unknown,Commercial,26578,5943,59292
NV,unknown,INDUSTRIAL,25272,213300,11752
NV,1960-79,Commercial,22946,10227,159704
NV,2000-09,Commercial,18758,17093,1023958
NV,pre-1960,Commercial,13791,4227,190561
NV,1980-99,INDUSTRIAL,9506,25393,665013
NV,2000-09,INDUSTRIAL,7703,27596,623865
NV,2010+,Commercial,6193,17398,1567032
NV,1960-79,INDUSTRIAL,4197,21687,535902
NV,2010+,INDUSTRIAL,2746,80437,1759180
NV,pre-1960,INDUSTRIAL,1257,7026,248539
NH,pre-1960,Commercial,32342,5576,
NH,1980-99,Commercial,24414,8894,
NH,unknown,Commercial,23973,6341,
NH,1960-79,Commercial,15070,8615,
NH,2000-09,Commercial,8933,12391,
NH,1980-99,INDUSTRIAL,7312,14879,
NH,2010+,Commercial,5467,13795,
NH,unknown,INDUSTRIAL,3715,768,
NH,1960-79,INDUSTRIAL,2752,31912,
NH,2000-09,INDUSTRIAL,2418,14897,
NH,pre-1960,INDUSTRIAL,1672,25945,
NH,2010+,INDUSTRIAL,851,28383,
NJ,unknown,Commercial,212034,190258,366025
